quarter,base_rate,deposit_rate,loan_rate,unemployment_rate,household_loan_balance,BIS비율,NPL비율,ROA,NIM
2011Q4,3.25,3.72,5.51,2.93,861387.9,13.96,1.36,0.66,2.3
2012Q1,3.25,3.73,5.7,3.79,862868.4,13.88,1.51,0.66,2.02
2012Q2,3.25,3.65,5.48,3.24,875017.5,13.83,1.49,0.66,2.09
2012Q3,3.0,3.27,4.99,2.99,885697.3,14.08,1.56,0.66,2.07
2012Q4,2.75,3.06,4.71,2.82,905944.1,14.3,1.33,0.47,2.05
2013Q1,2.75,2.93,4.67,3.59,908982.5,14.0,1.46,0.47,1.95
2013Q2,2.5,2.67,4.28,3.09,926302.1,13.87,1.73,0.47,1.91
2013Q3,2.5,2.6,4.3,2.94,938940.7,14.26,1.79,0.47,1.88
2013Q4,2.5,2.61,4.17,2.79,960579.6,14.51,1.79,0.21,1.87
2014Q1,2.5,2.61,4.1,3.93,965300.0,14.07,1.81,0.21,1.8
2014Q2,2.5,2.57,4.0,3.62,978397.4,14.17,1.73,0.21,1.81
2014Q3,2.25,2.36,3.82,3.27,999008.6,14.26,1.72,0.21,1.81
2014Q4,2.0,2.14,3.58,3.18,1025076.2,13.95,1.55,0.31,1.79
2015Q1,1.75,2.0,3.43,4.09,1039321.3,13.9,1.56,0.31,1.63
2015Q2,1.5,1.71,3.15,3.8,1072020.2,14.09,1.5,0.31,1.6
2015Q3,1.5,1.52,3.14,3.39,1101447.8,13.98,1.41,0.31,1.59
2015Q4,1.5,1.64,3.15,3.11,1137953.1,13.91,1.8,0.16,1.58
2016Q1,1.5,1.58,3.24,4.27,1158449.1,13.99,1.87,0.16,1.55
2016Q2,1.25,1.5,3.13,3.72,1191637.6,14.31,1.79,0.16,1.55
2016Q3,1.25,1.31,2.98,3.55,1228573.7,14.82,1.71,0.16,1.54
2016Q4,1.25,1.47,3.19,3.19,1269808.2,14.81,1.42,0.11,1.53
2017Q1,1.25,1.45,3.4,4.26,1285946.8,15.14,1.38,0.11,1.59
2017Q2,1.25,1.44,3.43,3.84,1312820.2,15.38,1.25,0.11,1.61
2017Q3,1.25,1.46,3.42,3.44,1341132.1,15.42,1.15,0.11,1.63
2017Q4,1.5,1.7,3.57,3.21,1369837.2,15.24,1.19,0.48,1.63
2018Q1,1.5,1.77,3.68,4.3,1387016.9,15.31,1.18,0.48,1.65
2018Q2,1.5,1.81,3.72,3.93,1409022.5,15.51,1.06,0.48,1.66
2018Q3,1.5,1.8,3.67,3.79,1426975.9,15.57,0.96,0.48,1.66
2018Q4,1.75,1.97,3.63,3.37,1446376.3,15.41,0.97,0.63,1.67
2019Q1,1.75,1.95,3.54,4.48,1451744.0,15.42,0.98,0.63,1.62
2019Q2,1.75,1.83,3.41,4.14,1467985.0,15.35,0.91,0.63,1.61
2019Q3,1.5,1.6,3.02,3.34,1481327.7,15.4,0.86,0.63,1.59
2019Q4,1.25,1.58,2.98,3.15,1504406.1,15.26,0.77,0.52,1.56
2020Q1,0.75,1.4,2.91,4.16,1521871.8,14.72,0.78,0.52,1.46
2020Q2,0.5,1.06,2.79,4.37,1546139.6,14.56,0.71,0.52,1.44
2020Q3,0.5,0.82,2.59,3.57,1586199.5,16.03,0.65,0.52,1.42
2020Q4,0.5,0.88,2.72,3.73,1632632.7,16.52,0.65,0.42,1.41
2021Q1,0.5,0.84,2.84,4.97,1667684.6,16.74,0.62,0.42,1.43
2021Q2,0.5,0.84,2.91,3.95,1708837.8,17.06,0.54,0.42,1.44
2021Q3,0.75,1.03,3.09,2.84,1743423.9,17.05,0.51,0.42,1.44
2021Q4,1.0,1.49,3.58,2.93,1755471.8,16.49,0.5,0.53,1.44
2022Q1,1.25,1.67,3.94,3.49,1754550.6,16.44,0.45,0.53,1.53
2022Q2,1.75,2.03,4.14,3.01,1755235.2,16.24,0.41,0.53,1.56
2022Q3,2.5,3.03,4.81,2.46,1754768.7,15.64,0.38,0.53,1.58
2022Q4,3.25,4.19,5.52,2.56,1747665.0,16.01,0.4,0.53,1.61
2023Q1,3.5,3.64,5.22,3.2,1736257.1,16.7,0.41,0.53,1.68
2023Q2,3.5,3.52,4.82,2.71,1744885.8,16.81,0.41,0.53,1.67
2023Q3,3.5,3.65,4.84,2.32,1759092.8,16.61,0.44,0.53,1.65
2023Q4,3.5,3.9,4.97,2.56,1764435.4,16.63,0.47,0.6,1.64
2024Q1,3.5,3.59,4.56,3.31,1763467.7,16.42,0.5,0.6,1.62
2024Q2,3.5,3.51,4.41,2.94,1776679.5,16.64,0.52,0.6,1.6
2024Q3,3.5,3.39,4.12,2.17,1793606.3,16.88,0.53,0.6,1.58
2024Q4,3.0,3.32,4.69,2.78,1802333.2,16.33,0.53,0.58,1.56
2025Q1,2.75,2.96,4.56,3.36,1806184.6,16.5,0.59,0.58,1.53
2025Q2,2.5,2.63,4.28,2.82,1829684.1,17.12,0.59,0.58,1.52
2025Q3,2.5,2.5,4.18,2.19,1841595.8,17.08,0.57,0.58,1.51
2025Q4,2.5,2.74,4.3,2.85,1852903.9,17.15,0.57,0.59,1.51
