quarter,BIS비율,NPL비율,ROA,NIM
2011Q4,13.96,1.36,0.66,2.3
2012Q1,13.88,1.51,0.66,2.02
2012Q2,13.83,1.49,0.66,2.09
2012Q3,14.08,1.56,0.66,2.07
2012Q4,14.3,1.33,0.47,2.05
2013Q1,14.0,1.46,0.47,1.95
2013Q2,13.87,1.73,0.47,1.91
2013Q3,14.26,1.79,0.47,1.88
2013Q4,14.51,1.79,0.21,1.87
2014Q1,14.07,1.81,0.21,1.8
2014Q2,14.17,1.73,0.21,1.81
2014Q3,14.26,1.72,0.21,1.81
2014Q4,13.95,1.55,0.31,1.79
2015Q1,13.9,1.56,0.31,1.63
2015Q2,14.09,1.5,0.31,1.6
2015Q3,13.98,1.41,0.31,1.59
2015Q4,13.91,1.8,0.16,1.58
2016Q1,13.99,1.87,0.16,1.55
2016Q2,14.31,1.79,0.16,1.55
2016Q3,14.82,1.71,0.16,1.54
2016Q4,14.81,1.42,0.11,1.53
2017Q1,15.14,1.38,0.11,1.59
2017Q2,15.38,1.25,0.11,1.61
2017Q3,15.42,1.15,0.11,1.63
2017Q4,15.24,1.19,0.48,1.63
2018Q1,15.31,1.18,0.48,1.65
2018Q2,15.51,1.06,0.48,1.66
2018Q3,15.57,0.96,0.48,1.66
2018Q4,15.41,0.97,0.63,1.67
2019Q1,15.42,0.98,0.63,1.62
2019Q2,15.35,0.91,0.63,1.61
2019Q3,15.4,0.86,0.63,1.59
2019Q4,15.26,0.77,0.52,1.56
2020Q1,14.72,0.78,0.52,1.46
2020Q2,14.56,0.71,0.52,1.44
2020Q3,16.03,0.65,0.52,1.42
2020Q4,16.52,0.65,0.42,1.41
2021Q1,16.74,0.62,0.42,1.43
2021Q2,17.06,0.54,0.42,1.44
2021Q3,17.05,0.51,0.42,1.44
2021Q4,16.49,0.5,0.53,1.44
2022Q1,16.44,0.45,0.53,1.53
2022Q2,16.24,0.41,0.53,1.56
2022Q3,15.64,0.38,0.53,1.58
2022Q4,16.01,0.4,0.53,1.61
2023Q1,16.7,0.41,0.53,1.68
2023Q2,16.81,0.41,0.53,1.67
2023Q3,16.61,0.44,0.53,1.65
2023Q4,16.63,0.47,0.6,1.64
2024Q1,16.42,0.5,0.6,1.62
2024Q2,16.64,0.52,0.6,1.6
2024Q3,16.88,0.53,0.6,1.58
2024Q4,16.33,0.53,0.58,1.56
2025Q1,16.5,0.59,0.58,1.53
2025Q2,17.12,0.0,0.58,1.52
2025Q3,17.08,0.57,0.58,1.51
2025Q4,17.15,0.57,0.59,1.51
