quarter,base_rate,deposit_rate,loan_rate,unemployment_rate,household_loan_balance
2005Q1,3.25,3.43,5.54,4.21,472400.2
2005Q2,3.25,3.45,5.35,3.66,490722.0
2005Q3,3.25,3.52,5.41,3.63,501565.9
2005Q4,3.75,3.87,5.66,3.48,514844.2
2006Q1,4.0,4.13,5.69,3.93,522409.0
2006Q2,4.25,4.34,5.66,3.39,540544.7
2006Q3,4.5,4.48,5.96,3.35,553087.4
2006Q4,4.5,4.48,5.88,3.27,575601.0
2007Q1,4.5,4.7,6.26,3.61,581150.1
2007Q2,4.5,4.81,6.34,3.24,597873.2
2007Q3,5.0,5.06,6.52,3.12,609883.3
2007Q4,5.0,5.48,6.82,3.02,630112.8
2008Q1,5.0,5.55,7.02,3.37,641707.5
2008Q2,5.0,5.4,6.96,3.11,660815.7
2008Q3,5.25,5.77,7.31,3.06,674965.6
2008Q4,3.0,5.96,7.47,3.1,683602.4
2009Q1,2.0,3.47,5.73,3.82,684411.6
2009Q2,2.0,2.84,5.48,3.82,700111.9
2009Q3,2.0,3.05,5.72,3.58,716976.3
2009Q4,2.0,3.57,6.0,3.34,734291.9
2010Q1,2.0,3.6,5.91,4.65,740821.7
2010Q2,2.0,2.91,5.26,3.45,756870.8
2010Q3,2.25,3.08,5.2,3.49,770985.3
2010Q4,2.5,3.13,5.15,3.25,793778.9
2011Q1,3.0,3.58,5.32,4.19,806388.2
2011Q2,3.25,3.69,5.46,3.39,826916.1
2011Q3,3.25,3.75,5.57,3.11,839737.6
2011Q4,3.25,3.72,5.51,2.93,861387.9
2012Q1,3.25,3.73,5.7,3.79,862868.4
2012Q2,3.25,3.65,5.48,3.24,875017.5
2012Q3,3.0,3.27,4.99,2.99,885697.3
2012Q4,2.75,3.06,4.71,2.82,905944.1
2013Q1,2.75,2.93,4.67,3.59,908982.5
2013Q2,2.5,2.67,4.28,3.09,926302.1
2013Q3,2.5,2.6,4.3,2.94,938940.7
2013Q4,2.5,2.61,4.17,2.79,960579.6
2014Q1,2.5,2.61,4.1,3.93,965300.0
2014Q2,2.5,2.57,4.0,3.62,978397.4
2014Q3,2.25,2.36,3.82,3.27,999008.6
2014Q4,2.0,2.14,3.58,3.18,1025076.2
2015Q1,1.75,2.0,3.43,4.09,1039321.3
2015Q2,1.5,1.71,3.15,3.8,1072020.2
2015Q3,1.5,1.52,3.14,3.39,1101447.8
2015Q4,1.5,1.64,3.15,3.11,1137953.1
2016Q1,1.5,1.58,3.24,4.27,1158449.1
2016Q2,1.25,1.5,3.13,3.72,1191637.6
2016Q3,1.25,1.31,2.98,3.55,1228573.7
2016Q4,1.25,1.47,3.19,3.19,1269808.2
2017Q1,1.25,1.45,3.4,4.26,1285946.8
2017Q2,1.25,1.44,3.43,3.84,1312820.2
2017Q3,1.25,1.46,3.42,3.44,1341132.1
2017Q4,1.5,1.7,3.57,3.21,1369837.2
2018Q1,1.5,1.77,3.68,4.3,1387016.9
2018Q2,1.5,1.81,3.72,3.93,1409022.5
2018Q3,1.5,1.8,3.67,3.79,1426975.9
2018Q4,1.75,1.97,3.63,3.37,1446376.3
2019Q1,1.75,1.95,3.54,4.48,1451744.0
2019Q2,1.75,1.83,3.41,4.14,1467985.0
2019Q3,1.5,1.6,3.02,3.34,1481327.7
2019Q4,1.25,1.58,2.98,3.15,1504406.1
2020Q1,0.75,1.4,2.91,4.16,1521871.8
2020Q2,0.5,1.06,2.79,4.37,1546139.6
2020Q3,0.5,0.82,2.59,3.57,1586199.5
2020Q4,0.5,0.88,2.72,3.73,1632632.7
2021Q1,0.5,0.84,2.84,4.97,1667684.6
2021Q2,0.5,0.84,2.91,3.95,1708837.8
2021Q3,0.75,1.03,3.09,2.84,1743423.9
2021Q4,1.0,1.49,3.58,2.93,1755471.8
2022Q1,1.25,1.67,3.94,3.49,1754550.6
2022Q2,1.75,2.03,4.14,3.01,1755235.2
2022Q3,2.5,3.03,4.81,2.46,1754768.7
2022Q4,3.25,4.19,5.52,2.56,1747665.0
2023Q1,3.5,3.64,5.22,3.2,1736257.1
2023Q2,3.5,3.52,4.82,2.71,1744885.8
2023Q3,3.5,3.65,4.84,2.32,1759092.8
2023Q4,3.5,3.9,4.97,2.56,1764435.4
2024Q1,3.5,3.59,4.56,3.31,1763467.7
2024Q2,3.5,3.51,4.41,2.94,1776679.5
2024Q3,3.5,3.39,4.12,2.17,1793606.3
2024Q4,3.0,3.32,4.69,2.78,1802333.2
2025Q1,2.75,2.96,4.56,3.36,1806184.6
2025Q2,2.5,2.63,4.28,2.82,1829684.1
2025Q3,2.5,2.5,4.18,2.19,1841595.8
2025Q4,2.5,2.74,4.3,2.85,1852903.9
